,budget,buf,country,date,gross,language,loction,production,runtime,sound,tconst
0,"Budget:        $25,000,000        

      (estimated)","Production Co:

Castle Rock Entertainment 
See more »","Country:
USA","Release Date: 14 October 1994 (USA)
    
See more »","Gross:        $28,341,469        

      (USA)","Language:
English","Filming Locations:
St. Croix, U.S. Virgin Islands

See more »","Production Co:

Castle Rock Entertainment 
See more »","Runtime:
142 min","Sound Mix:
Dolby Digital",tt0111161
1,"Budget:        $6,000,000        

      (estimated)","Gross:        $134,821,952        

      (USA)
(2 May 1997)","Country:
USA","Release Date: 24 March 1972 (USA)
    
See more »","Opening Weekend:         $223,758        

      (USA)
      (4 April 1997)","Language:
English
|
Italian
|
Latin","Filming Locations:
NY Eye and Ear Infirmary, 2nd Avenue & East 13th Street, New York City, New York, USA

See more »","Gross:        $134,821,952        

      (USA)
(2 May 1997)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
175 min",tt0068646
2,"Budget:        $13,000,000        

      (estimated)","Production Co:

Paramount Pictures,        
The Coppola Company 
See more »","Country:
USA","Release Date: 20 December 1974 (USA)
    
See more »","Gross:        $57,300,000        

      (USA)","Language:
English
|
Italian
|
Spanish
|
Latin
|
Sicilian","Filming Locations:
2045 N. Hibiscus Drive, North Miami, Florida, USA

See more »","Production Co:

Paramount Pictures,        
The Coppola Company 
See more »","Runtime:
202 min
|
220 min
            (The Godfather Trilogy 1901-1980 VHS Special Edition)","Sound Mix:
Mono",tt0071562
3,"Budget:        $185,000,000        

      (estimated)","Gross:        $533,316,061        

      (USA)
(27 February 2009)","Country:
USA
|
UK","Release Date: 18 July 2008 (USA)
    
See more »","Opening Weekend:         $158,411,483        

      (USA)
      (18 July 2008)","Language:
English
|
Mandarin","Filming Locations:
Times Square, Causeway Bay, Hong Kong

See more »","Gross:        $533,316,061        

      (USA)
(27 February 2009)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
152 min",tt0468569
4,"Budget:        $22,000,000        

      (estimated)","Gross:        $96,067,179        

      (USA)","Country:
USA","Release Date: 4 February 1994 (USA)
    
See more »","Opening Weekend:         £1,234,591        

      (UK)
      (4 March 1994)","Language:
English
|
Hebrew
|
German
|
Polish","Filming Locations:
Józefa, Kraków, Malopolskie, Poland

See more »","Gross:        $96,067,179        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
195 min
|
185 min
            (TV)",tt0108052
5,"Budget:        $350,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Country:
USA","Release Date: April 1957 (USA)
    
See more »","Production Co:

Orion-Nova Productions 
See more »","Language:
English","Filming Locations:
New York County Courthouse - 60 Centre Street, New York City, New York, USA

See more »","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono","Color:
 Black and White",tt0050083
6,"Budget:        $8,000,000        

      (estimated)","Gross:        $107,930,000        

      (USA)","Country:
USA","Release Date: 14 October 1994 (USA)
    
See more »","Opening Weekend:         £4,243,233        

      (UK)
      (11 November 1994)","Language:
English
|
Spanish
|
French","Filming Locations:
1435 Flower Street, Glendale, California, USA

See more »","Gross:        $107,930,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
154 min
|
178 min
            (original cut)",tt0110912
7,"Budget:        $94,000,000        

      (estimated)","Gross:        $377,019,252        

      (USA)
(28 May 2004)","Country:
USA
|
New Zealand","Release Date: 17 December 2003 (USA)
    
See more »","Opening Weekend:         £15,021,761        

      (UK)
      (19 December 2003)","Language:
English
|
Quenya
|
Old English
|
Sindarin","Filming Locations:
Dry Creek Quarry, Wellington, New Zealand

See more »","Gross:        $377,019,252        

      (USA)
(28 May 2004)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
201 min
|
263 min
            (Blu-Ray Extended Edition)
          |
254 min
            (Special DVD Extended Edition)
          |
182 min
            (DVD Widescreen Edition)",tt0167260
8,"Gross:        $6,100,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
Italian","Also Known As: The Good, the Bad and the Ugly
      
See more »","Production Co:

Produzioni Europee Associati (PEA),        
Arturo González Producciones Cinematográficas, S.A,        
Constantin Film Produktion 
See more »","Release Date: 29 December 1967 (USA)
    
See more »","Budget:        $1,200,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono","Color:
Color",tt0060196
9,"Budget:        $63,000,000        

      (estimated)","Gross:        $37,023,395        

      (USA)
(25 February 2000)","Country:
USA
|
Germany","Release Date: 15 October 1999 (USA)
    
See more »","Opening Weekend:         $11,035,485        

      (USA)
      (15 October 1999)","Language:
English","Filming Locations:
421 W. Eighth Street, Los Angeles, California, USA

See more »","Gross:        $37,023,395        

      (USA)
(25 February 2000)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
139 min
|
151 min
            (workprint)",tt0137523
10,"Budget:        $93,000,000        

      (estimated)","Gross:        $313,837,577        

      (USA)
(5 December 2003)","Country:
New Zealand
|
USA","Release Date: 19 December 2001 (USA)
    
See more »","Opening Weekend:         £11,058,045        

      (UK)
      (21 December 2001)","Language:
English
|
Sindarin","Filming Locations:
Fort Dorset, Miramar, Wellington, New Zealand

See more »","Gross:        $313,837,577        

      (USA)
(5 December 2003)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
178 min
|
208 min
            (Special DVD Extended Edition)
          |
228 min
            (Blu Ray Extended Edition)
          |
162 min
            (DVD Widescreen Edition)",tt0120737
11,"Budget:        $18,000,000        

      (estimated)","Gross:        $290,158,751        

      (USA)
(9 May 1997)","Country:
USA","Release Date: 20 June 1980 (USA)
    
See more »","Opening Weekend:         ITL 609,584,000        

      (Italy)
      (11 April 1997)","Language:
English","Filming Locations:
Banks, Oregon, USA

See more »","Gross:        $290,158,751        

      (USA)
(9 May 1997)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
124 min
|
127 min
            (special edition)",tt0080684
12,"Budget:        $55,000,000        

      (estimated)","Gross:        $329,691,196        

      (USA)","Country:
USA","Release Date: 6 July 1994 (USA)
    
See more »","Opening Weekend:         £11,302,303        

      (UK)
      (11 November 1994)","Language:
English","Filming Locations:
Monument Valley, Arizona, USA

See more »","Gross:        $329,691,196        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
142 min",tt0109830
13,"Budget:        $160,000,000        

      (estimated)","Gross:        $292,568,851        

      (USA)
(31 December 2010)","Country:
USA
|
UK","Release Date: 16 July 2010 (USA)
    
See more »","Opening Weekend:         £5,912,814        

      (UK)
      (16 July 2010)","Language:
English
|
Japanese
|
French","Filming Locations:
Bedfordshire, England, UK

See more »","Gross:        $292,568,851        

      (USA)
(31 December 2010)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
148 min",tt1375666
14,"Budget:        $94,000,000        

      (estimated)","Gross:        $340,478,898        

      (USA)
(12 December 2003)","Country:
USA
|
New Zealand","Release Date: 18 December 2002 (USA)
    
See more »","Opening Weekend:         £13,063,560        

      (UK)
      (20 December 2002)","Language:
English
|
Sindarin
|
Old English","Filming Locations:
Mount Sunday, Canterbury, South Island, New Zealand

See more »","Gross:        $340,478,898        

      (USA)
(12 December 2003)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
179 min
|
235 min
            (Blu Ray Extended Edition)
          |
223 min
            (Special DVD Extended Edition)
          |
171 min
            (DVD Widescreen Edition)",tt0167261
15,"Gross:        $112,000,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English","Also Known As: Atrapado sin salida
      
See more »","Production Co:

Fantasy Films 
See more »","Release Date: 21 November 1975 (USA)
    
See more »","Budget:        $4,400,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono","Color:
Color",tt0073486
16,"Budget:        $25,000,000        

      (estimated)","Production Co:

Warner Bros. 
See more »","Country:
USA","Release Date: 21 September 1990 (USA)
    
See more »","Gross:        $46,836,394        

      (USA)","Language:
English
|
Italian","Filming Locations:
19 Alfred Lane, New Rochelle, New York, USA

See more »","Production Co:

Warner Bros. 
See more »","Runtime:
146 min","Sound Mix:
Dolby SR",tt0099685
17,"Budget:        $63,000,000        

      (estimated)","Gross:        $171,383,253        

      (USA)
(17 September 1999)","Country:
USA","Release Date: 31 March 1999 (USA)
    
See more »","Opening Weekend:         $27,788,331        

      (USA)
      (2 April 1999)","Language:
English","Filming Locations:
AON Tower, Kent Street, Sydney, New South Wales, Australia

See more »","Gross:        $171,383,253        

      (USA)
(17 September 1999)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
136 min",tt0133093
18,"Opening Weekend:         $21,830        

      (USA)
      (30 August 2002)","Production Co:

Toho Company 
See more »","Language:
Japanese","Also Known As: Seven Samurai
      
See more »","Gross:        $269,061        

      (USA)
(29 August 2003)","Release Date: 19 November 1956 (USA)
    
See more »","Budget:        $2,000,000        

      (estimated)","Production Co:

Toho Company 
See more »","Runtime:
207 min
|
160 min
            (international)
          |
202 min
            (2002 re-release)
          |
150 min
            (original)
          |
190 min
            (1991 re-release)
          |
158 min
            (cut)
            (original)
          |
203 min
            (re-release)
          |
207 min
            (restored)
          |
202 min
            (DVD edition)","Sound Mix:
Mono
| Stereo
(re-release prints)",tt0047478
19,"Budget:        $11,000,000        

      (estimated)","Gross:        $460,935,665        

      (USA)
(2 May 1997)","Country:
USA","Release Date: 25 May 1977 (USA)
    
See more »","Opening Weekend:         $35,906,661        

      (USA)
      (31 January 1997)","Language:
English","Filming Locations:
Tikal National Park, Guatemala

See more »","Gross:        $460,935,665        

      (USA)
(2 May 1997)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
121 min
|
125 min
            (special edition)",tt0076759
20,"Budget:        $3,300,000        

      (estimated)","Gross:        $7,563,397        

      (USA)
(18 June 2004)","Country:
Brazil
|
France","Release Date: 13 February 2004 (USA)
    
See more »","Opening Weekend:         $541,996        

      (Brazil)
      (30 August 2002)","Language:
Portuguese","Filming Locations:
Cidade de Deus, Rio de Janeiro, Rio de Janeiro, Brazil

See more »","Gross:        $7,563,397        

      (USA)
(18 June 2004)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
130 min
|
135 min",tt0317248
21,"Budget:        $33,000,000        

      (estimated)","Gross:        $100,125,340        

      (USA)","Country:
USA","Release Date: 22 September 1995 (USA)
    
See more »","Opening Weekend:         £11,434,343        

      (UK)
      (19 January 1996)","Language:
English","Filming Locations:
Pacific Electric Building, Los Angeles, California, USA

See more »","Gross:        $100,125,340        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
127 min",tt0114369
22,"Budget:        $19,000,000        

      (estimated)","Production Co:

Strong Heart/Demme Production,        
Orion Pictures 
See more »","Country:
USA","Release Date: 14 February 1991 (USA)
    
See more »","Gross:        $130,727,000        

      (USA)","Language:
English","Filming Locations:
Clay County, West Virginia, USA

See more »","Production Co:

Strong Heart/Demme Production,        
Orion Pictures 
See more »","Runtime:
118 min
|
138 min
            (original cut)","Sound Mix:
Dolby SR",tt0102926
23,"Opening Weekend:         £49,845        

      (UK)
      (19 December 2008)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English","Also Known As: The Greatest Gift
      
See more »","Production Co:

Liberty Films (II) 
See more »","Release Date: 7 January 1947 (USA)
    
See more »","Budget:        $3,180,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(RCA Sound System)","Color:
Color
(colorized)|  Black and White",tt0038650
24,"Budget:        $6,000,000        

      (estimated)","Production Co:

PolyGram Filmed Entertainment,        
Spelling Films International,        
Blue Parrot 
See more »","Country:
USA
|
Germany","Release Date: 15 September 1995 (USA)
    
See more »","Gross:        $23,272,306        

      (USA)","Language:
English
|
Hungarian
|
Spanish
|
French","Filming Locations:
Los Angeles, California, USA

See more »","Production Co:

PolyGram Filmed Entertainment,        
Spelling Films International,        
Blue Parrot 
See more »","Runtime:
106 min","Sound Mix:
Dolby Digital",tt0114814
25,"Budget:        $20,000,000        

      (estimated)","Gross:        $57,598,247        

      (USA)
(1 October 1999)","Country:
Italy","Release Date: 12 February 1999 (USA)
    
See more »","Opening Weekend:         $118,920        

      (USA)
      (23 October 1998)","Language:
Italian
|
German
|
English","Filming Locations:
Ronciglione, Viterbo, Lazio, Italy

See more »","Gross:        $57,598,247        

      (USA)
(1 October 1999)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
116 min
|
122 min
            (first release)",tt0118799
26,"Gross:        $32,346,209        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English
|
Italian
|
French","Also Known As: Léon: The Professional
      
See more »","Production Co:

Gaumont,        
Les Films du Dauphin 
See more »","Release Date: 18 November 1994 (USA)
    
See more »","Budget:        FRF 115,000,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Dolby Digital
| SDDS
(8 channels)","Color:
Color
(Technicolor)",tt0110413
27,"Production Co:

Rafran Cinematografica,        
Finanzia San Marco,        
Paramount Pictures 
See more »","Runtime:
165 min
            (international)
          |
137 min
            (1970)
          |
145 min
            (theatrical)","Language:
English
|
Spanish
|
Italian","Also Known As: Once Upon a Time in the West
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 4 July 1969 (USA)
    
See more »","Budget:        $5,000,000        

      (estimated)","Runtime:
165 min
            (international)
          |
137 min
            (1970)
          |
145 min
            (theatrical)","Color:
Color
(Technicolor)",Aspect Ratio: 2.35 : 1,tt0064116
28,"Opening Weekend:         $1,052,197        

      (France)
      (19 April 2002)","Production Co:

Tokuma Shoten,        
Studio Ghibli,        
Nippon Television Network (NTV) 
See more »","Country:
Japan","Release Date: 28 March 2003 (USA)
    
See more »","Gross:        $10,049,886        

      (USA)
(29 August 2003)","Language:
Japanese","Budget:        $19,000,000        

      (estimated)","Production Co:

Tokuma Shoten,        
Studio Ghibli,        
Nippon Television Network (NTV) 
See more »","Runtime:
125 min","Sound Mix:
DTS-ES
| Dolby Digital EX
| Dolby
(English-language version)| Dolby Digital
(English-language version)",tt0245429
29,"Budget:        $70,000,000        

      (estimated)","Gross:        $216,119,491        

      (USA)
(21 May 1999)","Country:
USA","Release Date: 24 July 1998 (USA)
    
See more »","Opening Weekend:         $30,576,104        

      (USA)
      (24 July 1998)","Language:
English
|
French
|
German
|
Czech","Filming Locations:
Calvados, France

See more »","Gross:        $216,119,491        

      (USA)
(21 May 1999)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
169 min",tt0120815
30,"Budget:        $7,500,000        

      (estimated)","Gross:        $6,712,241        

      (USA)
(26 March 1999)","Country:
USA","Release Date: 20 November 1998 (USA)
    
See more »","Opening Weekend:         $156,076        

      (USA)
      (30 October 1998)","Language:
English","Filming Locations:
2206 Meade Place, Venice Beach, Los Angeles, California, USA

See more »","Gross:        $6,712,241        

      (USA)
(26 March 1999)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
119 min
|
101 min
            (workprint)",tt0120586
31,"Budget:        $165,000,000        

      (estimated)","Gross:        $187,991,439        

      (USA)
(13 March 2015)","Country:
USA
|
UK","Release Date: 7 November 2014 (USA)
    
See more »","Opening Weekend:         $47,510,360        

      (USA)
      (7 November 2014)","Language:
English","Filming Locations:
Okotoks, Alberta, Canada

See more »","Gross:        $187,991,439        

      (USA)
(13 March 2015)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
169 min",tt0816692
32,"Budget:        $950,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Country:
USA","Release Date: 23 January 1943 (USA)
    
See more »","Production Co:

Warner Bros. 
See more »","Language:
English
|
French
|
German
|
Italian","Filming Locations:
Hotel Monte Vista, Flagstaff, Arizona, USA

See more »","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(RCA Sound System)","Color:
Color
|  Black and White",tt0034583
33,"Gross:        $32,000,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English","Also Known As: Alfred Hitchcock's Psycho
      
See more »","Production Co:

Shamley Productions 
See more »","Release Date: 8 September 1960 (USA)
    
See more »","Budget:        $806,947        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(Westrex Recording System)","Color:
 Black and White",tt0054215
34,"Production Co:

Charles Chaplin Productions 
See more »","Runtime:
87 min","Language:
English","Also Known As: City Lights: A Comedy Romance in Pantomime
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 7 March 1931 (USA)
    
See more »","Budget:        $1,500,000        

      (estimated)","Runtime:
87 min","Color:
 Black and White",Aspect Ratio: 1.20 : 1,tt0021749
35,"Budget:        $18,000,000        

      (estimated)","Gross:        $242,374,454        

      (USA)","Country:
USA","Release Date: 12 June 1981 (USA)
    
See more »","Opening Weekend:         $1,673,731        

      (USA)
      (7 September 2012)","Language:
English
|
German
|
Hebrew
|
Spanish
|
Arabic
|
Nepali","Filming Locations:
Yuma, Arizona, USA

See more »","Gross:        $242,374,454        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
115 min",tt0082971
36,"Budget:        €9,500,000        

      (estimated)","Gross:        $13,179,837        

      (USA)
(11 January 2013)","Country:
France","Release Date: 2 November 2011 (France)
    
See more »","Opening Weekend:         $103,507        

      (USA)
      (25 May 2012)","Language:
French
|
English","Filming Locations:
Paris, France

See more »","Gross:        $13,179,837        

      (USA)
(11 January 2013)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
112 min",tt1675434
37,"Opening Weekend:         $11,507        

      (USA)
      (9 January 2004)","Production Co:

Charles Chaplin Productions 
See more »","Language:
English","Also Known As: The Masses
      
See more »","Gross:        $163,245        

      (USA)
(22 October 2004)","Release Date: 25 February 1936 (USA)
    
See more »","Budget:        $1,500,000        

      (estimated)","Production Co:

Charles Chaplin Productions 
See more »","Runtime:
87 min","Sound Mix:
Mono
(Western Electric Noiseless Recording Sound System)",tt0027977
38,"Budget:        $60,000,000        

      (estimated)","Gross:        $136,801,374        

      (USA)
(12 May 2000)","Country:
USA","Release Date: 10 December 1999 (USA)
    
See more »","Opening Weekend:         $18,017,152        

      (USA)
      (10 December 1999)","Language:
English
|
French","Filming Locations:
Blowing Rock, North Carolina, USA

See more »","Gross:        $136,801,374        

      (USA)
(12 May 2000)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
189 min",tt0120689
39,"Opening Weekend:         $15,172        

      (USA)
      (21 January 2000)","Production Co:

Paramount Pictures,        
Patron Inc. 
See more »","Language:
English","Also Known As: Alfred Hitchcock's Rear Window
      
See more »","Gross:        $24,500,000        

      (USA)","Release Date: 1 August 1954 (UK)
    
See more »","Budget:        $1,000,000        

      (estimated)","Production Co:

Paramount Pictures,        
Patron Inc. 
See more »","Runtime:
112 min","Sound Mix:
Mono
(Western Electric Recording)",tt0047396
40,"Budget:        $102,000,000        

      (estimated)","Production Co:

Carolco Pictures,        
Pacific Western,        
Lightstorm Entertainment 
See more »","Country:
USA
|
France","Release Date: 3 July 1991 (USA)
    
See more »","Gross:        $204,843,350        

      (USA)","Language:
English
|
Spanish","Filming Locations:
Santa Clarita, California, USA

See more »","Production Co:

Carolco Pictures,        
Pacific Western,        
Lightstorm Entertainment 
See more »","Runtime:
137 min
|
153 min
            (Laserdisk 1993 Special Edition: Extended Version)
          |
156 min
            (Blu-ray 2009 Skynet Edition: Extended Special Edition)
          |
130 min
            (T-1000 Edition VHS)
          |
153 min
            (Extreme DVD)","Sound Mix:
70 mm 6-Track
(analog 70 mm prints)| CDS
(digital 35 mm and 70 mm prints)| Dolby SR
(analog 35 mm prints)| Dolby Stereo
(in selected theatres)| Mono
(original release)| Auro 11.1
(IMAX version)| Dolby Atmos
(IMAX version)| Dolby Digital
(Extreme Edition)",tt0103064
41,"Budget:        $90,000,000        

      (estimated)","Gross:        $132,373,442        

      (USA)
(16 March 2007)","Country:
USA
|
Hong Kong","Release Date: 6 October 2006 (USA)
    
See more »","Opening Weekend:         £2,298,313        

      (UK)
      (6 October 2006)","Language:
English
|
Cantonese","Filming Locations:
Fore River Ship Yard, Quincy, Massachusetts, USA

See more »","Gross:        $132,373,442        

      (USA)
(16 March 2007)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
151 min",tt0407887
42,"Budget:        $35,000,000        

      (estimated)","Gross:        $32,519,322        

      (USA)
(30 May 2003)","Country:
France
|
Poland
|
Germany
|
UK","Release Date: 28 March 2003 (USA)
    
See more »","Opening Weekend:         $1,949,422        

      (France)
      (27 September 2002)","Language:
English
|
German
|
Russian","Filming Locations:
Germany

See more »","Gross:        $32,519,322        

      (USA)
(30 May 2003)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
150 min",tt0253474
43,"Budget:        $19,000,000        

      (estimated)","Gross:        $210,609,762        

      (USA)","Country:
USA","Release Date: 3 July 1985 (USA)
    
See more »","Opening Weekend:         £461,194        

      (UK)
      (1 October 2010)","Language:
English","Filming Locations:
Santa Clarita, California, USA

See more »","Gross:        $210,609,762        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
116 min",tt0088763
44,"Budget:        $3,300,000        

      (estimated)","Gross:        $13,092,000        

      (USA)
(27 March 2015)","Country:
USA","Release Date: 15 October 2014 (Philippines)
    
See more »","Opening Weekend:         $135,388        

      (USA)
      (10 October 2014)","Language:
English","Filming Locations:
Santa Clarita, California, USA

See more »","Gross:        $13,092,000        

      (USA)
(27 March 2015)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
107 min",tt2582802
45,"Budget:        $103,000,000        

      (estimated)","Gross:        $187,670,866        

      (USA)
(13 April 2001)","Country:
USA
|
UK","Release Date: 5 May 2000 (USA)
    
See more »","Opening Weekend:         $34,819,017        

      (USA)
      (5 May 2000)","Language:
English","Filming Locations:
Morocco

See more »","Gross:        $187,670,866        

      (USA)
(13 April 2001)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
155 min
|
171 min
            (Extended Edition)",tt0172495
46,"Budget:        $9,000,000        

      (estimated)","Gross:        $25,530,884        

      (USA)
(9 November 2001)","Country:
USA","Release Date: 25 May 2001 (USA)
    
See more »","Opening Weekend:         £90,642        

      (UK)
      (20 October 2000)","Language:
English","Filming Locations:
Hill Crest Inn, 9111 Sepulveda Blvd, North Hills, California, USA

See more »","Gross:        $25,530,884        

      (USA)
(9 November 2001)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
113 min",tt0209144
47,"Budget:        $31,500,000        

      (estimated)","Gross:        $78,800,000        

      (USA)","Country:
USA","Release Date: 15 August 1979 (USA)
    
See more »","Opening Weekend:         $96,992        

      (USA)
      (3 August 2001)","Language:
English
|
French
|
Vietnamese","Filming Locations:
Philippines

See more »","Gross:        $78,800,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
153 min
|
202 min
            (Redux)
          |
289 min
            (workprint)",tt0078788
48,"Budget:        $40,000,000        

      (estimated)","Gross:        $53,082,743        

      (USA)
(2 February 2007)","Country:
USA
|
UK","Release Date: 20 October 2006 (USA)
    
See more »","Opening Weekend:         $14,801,808        

      (USA)
      (20 October 2006)","Language:
English","Filming Locations:
Spring Street Towers - 650 S. Spring Street, Downtown, Los Angeles, California, USA

See more »","Gross:        $53,082,743        

      (USA)
(2 February 2007)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
130 min",tt0482571
49,"Budget:        $45,000,000        

      (estimated)","Gross:        $422,783,777        

      (USA)
(13 January 2012)","Country:
USA","Release Date: 24 June 1994 (USA)
    
See more »","Opening Weekend:         £16,650,343        

      (UK)
      (11 November 1994)","Language:
English
|
Swahili
|
Xhosa
|
Zulu","Filming Locations:
Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA","Gross:        $422,783,777        

      (USA)
(13 January 2012)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
89 min
|
73 min
            (workprint)",tt0110357
50,"Budget:        $1,800,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Country:
USA
|
UK","Release Date: 29 January 1964 (USA)
    
See more »","Production Co:

Columbia Pictures Corporation,        
Hawk Films 
See more »","Language:
English
|
Russian","Filming Locations:
Okaloosa County, Florida, USA

See more »","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(Westrex Recording System)","Color:
 Black and White",tt0057012
51,"Production Co:

Paramount Pictures 
See more »","Runtime:
110 min
|
104 min
            (cut)","Language:
English","Also Known As: A Can of Beans
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 29 September 1950 (Australia)
    
See more »","Budget:        $1,752,000        

      (estimated)","Runtime:
110 min
|
104 min
            (cut)","Color:
 Black and White",Aspect Ratio: 1.37 : 1,tt0043014
52,"Budget:        $11,000,000        

      (estimated)","Gross:        $78,900,000        

      (USA)","Country:
USA
|
UK","Release Date: 22 June 1979 (USA)
    
See more »","Opening Weekend:         £208,081        

      (UK)
      (31 October 2003)","Language:
English
|
Spanish","Filming Locations:
Shepperton Studios, Shepperton, Surrey, England, UK

See more »","Gross:        $78,900,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
117 min
|
116 min
            (director's cut)",tt0078748
53,"Production Co:

Charles Chaplin Productions 
See more »","Runtime:
125 min","Language:
English
|
Esperanto","Also Known As: The Dictator
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 7 March 1941 (USA)
    
See more »","Budget:        $2,000,000        

      (estimated)","Runtime:
125 min","Color:
 Black and White",Aspect Ratio: 1.37 : 1,tt0032553
54,"Budget:        $2,000,000        

      (estimated)","Gross:        $11,284,657        

      (USA)
(7 September 2007)","Country:
Germany","Release Date: 30 March 2007 (USA)
    
See more »","Opening Weekend:         $213,589        

      (USA)
      (9 February 2007)","Language:
German","Filming Locations:
Gedenkstätte Hohenschönhausen, Hohenschönhausen, Berlin, Germany

See more »","Gross:        $11,284,657        

      (USA)
(7 September 2007)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
137 min",tt0405094
55,"Budget:        $5,000,000        

      (estimated)","Gross:        $11,990,401        

      (USA)","Country:
Italy
|
France","Release Date: 23 February 1990 (USA)
    
See more »","Opening Weekend:         $25,899        

      (USA)
      (14 June 2002)","Language:
Italian","Filming Locations:
Bagheria, Palermo, Sicily, Italy

See more »","Gross:        $11,990,401        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
155 min
|
173 min
            (Europa Cinema Festival)
          |
124 min
            (cut theatrical)",tt0095765
56,"Production Co:

Bryna Productions 
See more »","Runtime:
88 min","Language:
English
|
German
|
Latin","Also Known As: La patrulla infernal
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 25 October 1957 (West Germany)
    
See more »","Budget:        $935,000        

      (estimated)","Runtime:
88 min","Color:
 Black and White",Aspect Ratio: 1.66 : 1,tt0050825
57,"Budget:        $100,000,000        

      (estimated)","Gross:        $162,804,648        

      (USA)
(10 May 2013)","Country:
USA","Release Date: 25 December 2012 (USA)
    
See more »","Opening Weekend:         $30,122,888        

      (USA)
      (28 December 2012)","Language:
English
|
German
|
French
|
Italian","Filming Locations:
Jackson Hole, Wyoming, USA

See more »","Gross:        $162,804,648        

      (USA)
(10 May 2013)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
165 min",tt1853728
58,"Budget:        $19,000,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Country:
USA
|
UK","Release Date: 23 May 1980 (USA)
    
See more »","Production Co:

Warner Bros.,        
Hawk Films,        
Peregrine 
See more »","Language:
English","Filming Locations:
Colorado, USA

See more »","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono","Color:
Color",tt0081505
